sID,schoolname,level,eType,address,city,region,lati,longi
B000012613,진성고등학교,고등학교,사립,경기도 광명시 철망산로 84,경기도교육청,경기도광명교육지원청,37.46928455,126.877452
B000004094,도창초등학교,초등학교,공립,경기도 시흥시 수인로2793번길 6,경기도교육청,경기도시흥교육지원청,37.40678835,126.8239982
B000003207,빛고을초등학교,초등학교,공립,광주광역시 서구 동천로 7,광주광역시교육청,광주광역시서부교육지원청,35.16902569,126.8594675
B000010267,선유도중학교,중학교,공립,전북특별자치도 군산시 옥도면 선유북길 89-1,전북특별자치도교육청,전북특별자치도군산교육지원청,35.8118584,126.4122542
B000006489,순천도사초등학교,초등학교,공립,전라남도 순천시 순천만길 166,전라남도교육청,전라남도순천교육지원청,34.91406745,127.5001236
B000010185,신양중학교,중학교,사립,충청남도 예산군 신양면 청신로 402,충청남도교육청,충청남도예산교육지원청,36.60338508,126.8701924
B000003498,백양초등학교,초등학교,공립,울산광역시 중구 성안8길 10-5,울산광역시교육청,울산광역시강북교육지원청,35.57701205,129.3197043
B000024415,대구새론초등학교,초등학교,공립,대구광역시 동구 과학로13길 5,대구광역시교육청,대구광역시동부교육지원청,35.8847202,128.7171456
B000004256,오산원일초등학교,초등학교,공립,경기도 오산시 오산로132번길 27,경기도교육청,경기도화성오산교육지원청,37.13946661,127.0712491
B000012417,울산동천고등학교,고등학교,공립,울산광역시 북구 고래로 54,울산광역시교육청,울산광역시강북교육지원청,35.63249565,129.3394885
B000006293,부남초등학교,초등학교,공립,전북특별자치도 무주군 부남면 대소길 10,전북특별자치도교육청,전북특별자치도무주교육지원청,35.97327938,127.5597288
B000002443,대신초등학교,초등학교,공립,부산광역시 서구 대신로 63,부산광역시교육청,부산광역시서부교육지원청,35.11551505,129.012025
B000002818,대구서평초등학교,초등학교,공립,대구광역시 서구 서대구로45길 60,대구광역시교육청,대구광역시서부교육지원청,35.87825232,128.5485064
B000009210,불곡중학교,중학교,공립,경기도 성남시 분당구 금곡로 139,경기도교육청,경기도성남교육지원청,37.34696093,127.1190577
B000008617,신곡중학교,중학교,공립,부산광역시 해운대구 좌동순환로 316,부산광역시교육청,부산광역시해운대교육지원청,35.16783059,129.18185
B000023063,단샘초등학교,초등학교,공립,경기도 하남시 감일순환로 195,경기도교육청,경기도광주하남교육지원청,37.50718034,127.1584881
B000009461,세마중학교,중학교,공립,경기도 오산시 수목원로 559-9,경기도교육청,경기도화성오산교육지원청,37.18076018,127.0422468
B000004184,태안초등학교,초등학교,공립,경기도 화성시 병점3로 77,경기도교육청,경기도화성오산교육지원청,37.21052779,127.0410118
B000011106,장유중학교,중학교,사립,경상남도 김해시 장유로 420,경상남도교육청,경상남도김해교육지원청,35.18984429,128.81971
B000013022,남원고등학교,고등학교,공립,전북특별자치도 남원시 만인로 43,전북특별자치도교육청,전북특별자치도남원교육지원청,35.42041306,127.3802691
B000010141,은산중학교,중학교,공립,충청남도 부여군 은산면 충의로 729,충청남도교육청,충청남도부여교육지원청,36.31360506,126.8543155
B000022535,도래울중학교,중학교,공립,경기도 고양시 덕양구 도래울로 57,경기도교육청,경기도고양교육지원청,37.63181735,126.8686434
B000006114,다송초등학교,초등학교,공립,전북특별자치도 익산시 함열읍 익산대로 1351,전북특별자치도교육청,전북특별자치도익산교육지원청,36.04098605,126.955724
B000011024,호계중학교,중학교,공립,경상남도 창원시 마산회원구 내서읍 호계본동로 107,경상남도교육청,경상남도창원교육지원청,35.26659875,128.5147297
B000022943,강경산양초등학교,초등학교,공립,충청남도 논산시 강경읍 산양길 45,충청남도교육청,충청남도논산계룡교육지원청,36.14739709,127.0219616
